Genres,Film Count,Average Ratings
"Fantasy,History,Music",3,75.6666666666667
"Film-Noir,Mystery,Thriller",3,62.6666666666667
"Game-Show,Music,Musical",3,67.3333333333333
"History,Romance,Short",3,88.3333333333333
"History,Sci-Fi,Thriller",3,58.6666666666667
"History,Short,Sport",3,60.3333333333333
"Horror,Music,Romance",3,81
"Horror,Mystery,Western",3,54.6666666666667
"Music,News,Reality-TV",3,58
"Music,Short,Talk-Show",3,72.3333333333333
"Music,Thriller",3,59.3333333333333
"Music,Western",3,62
"Musical,Mystery",3,47.6666666666667
"Musical,Mystery,Thriller",3,69
"Musical,Short,Thriller",3,78
"Musical,Sport",3,67.6666666666667
"Musical,War",3,62.3333333333333
"News,Reality-TV,Short",3,74.6666666666667
"Action,Adventure,News",4,60.5
"Action,Animation,War",4,74.25
"Action,Biography,Short",4,79.5
"Action,Crime,War",4,68.25
"Action,Crime,Western",4,64.5
"Action,Family,Game-Show",4,69
"Action,Family,Horror",4,40.5
"Action,Family,Mystery",4,60
"Action,Family,Western",4,77.5
"Action,History,Horror",4,56.25
"Action,Musical,Short",4,79.25
"Adult,Adventure,Mystery",4,68.75
"Adult,Documentary,History",4,58.75
"Adult,Romance,Sport",4,66.25
"Adult,Sci-Fi,Short",4,79
"Adventure,Documentary,War",4,76.5
"Adventure,Documentary,Western",4,72.75
"Adventure,Musical,Short",4,70.25
"Adventure,Reality-TV,Romance",4,69.25
"Adventure,Romance,Western",4,59.75
"Adventure,Short,War",4,71
"Animation,Biography,Music",4,54.5
"Animation,Documentary,War",4,75.5
"Animation,History,Horror",4,64
"Animation,News,Short",4,64.75
"Biography,Comedy,Family",4,72.5
"Biography,Drama,Sci-Fi",4,56
"Biography,Music,Musical",4,62.25
"Biography,News",4,69.5
"Biography,Sci-Fi",4,62.25
"Biography,Short,War",4,60.75
"Comedy,History,Horror",4,47.5
"Comedy,Musical,News",4,73.75
"Comedy,Musical,Thriller",4,60.75
"Comedy,Sci-Fi,War",4,73
"Crime,Family,Short",4,59.75
"Crime,Family,Thriller",4,68.25
"Crime,Music,Thriller",4,56
"Crime,Western",4,69.5
"Documentary,Mystery,Thriller",4,73.75
"Documentary,Romance,War",4,74.25
"Drama,Film-Noir,Music",4,64.5
"Drama,News",4,67.25
"Family,Game-Show,Horror",4,74.75
"Family,Musical,Mystery",4,69.25
"Family,Mystery,Short",4,70.75
"Family,News,Reality-TV",4,59.75
"Fantasy,Talk-Show",4,85.5
"Game-Show,Sport,Talk-Show",4,68.75
"History,News,Short",4,62.25
"History,Thriller,War",4,49.25
"History,Western",4,66.25
"Horror,Musical,Mystery",4,67
"Horror,Sport",4,51
"Music,Musical,Talk-Show",4,56
"Music,Mystery,Thriller",4,63.25
"Music,Romance,War",4,60.75
"Music,Short,Western",4,61.75
"Musical,Romance,War",4,62.5
"Musical,Short,Western",4,60
"Musical,Talk-Show",4,64
"Mystery,War",4,56.5
"Romance,Thriller,War",4,76.75
"Sci-Fi,Short,Talk-Show",4,78
"Action,Adult,Thriller",5,67.8
"Action,Documentary,Fantasy",5,71.4
"Action,Family,Romance",5,58
"Action,History,Mystery",5,59.8
"Action,Thriller,Western",5,69.2
"Adult,Animation,Crime",5,54.2
"Adult,Biography,Drama",5,55.8
"Adult,Comedy,Sport",5,64
"Adult,Drama,Music",5,65.4
"Adult,Horror,Romance",5,64
"Adult,War",5,69.8
